Dates,feature1_1_period,feature1_5_period,feature1_21_period,feature2_1_period,feature2_5_period,feature2_21_period,feature3_1_period,feature3_5_period,feature3_21_period,feature4_1_period,feature4_5_period,feature4_21_period,feature5_1_period,feature5_5_period,feature5_21_period,feature6_1_period,feature6_5_period,feature6_21_period,feature7_1_period,feature7_5_period,feature7_21_period,feature8_1_period,feature8_5_period,feature8_21_period,feature9_1_period,feature9_5_period,feature9_21_period,feature10_1_period,feature10_5_period,feature10_21_period,feature11_1_period,feature11_5_period,feature11_21_period,feature12_1_period,feature12_5_period,feature12_21_period,feature13_1_period,feature13_5_period,feature13_21_period,feature14_1_period,feature14_5_period,feature14_21_period,feature15_1_period,feature15_5_period,feature15_21_period,feature16_1_period,feature16_5_period,feature16_21_period,feature17_1_period,feature17_5_period,feature17_21_period,feature18_1_period,feature18_5_period,feature18_21_period,feature19_1_period,feature19_5_period,feature19_21_period,feature20_1_period,feature20_5_period,feature20_21_period
2013-05-10,-0.0022896393817972704,-0.005704506560182621,-0.02298206278026904,-0.018327893547577245,-0.032417718386538064,-0.05532737376177821,-0.0036310820624545492,0.004497437506536972,0.027055929847075166,-12563.0,-20367.0,-39263.0,-283.0,-999.0,247418.0,,,,0.3499999999999943,1.0180000000000007,0.8960000000000008,-0.5400000000000009,-0.2599999999999998,0.34999999999999964,0.05600000000000005,0.13260000000000005,-0.051000000000000156,-0.0021999999999999797,-0.0030999999999999917,-0.011599999999999944,0.0,5.0,33.0,0.016399999999999998,0.020900000000000002,0.006599999999999995,0.0,-17.0,-128.0,,,,,,,,,,,,,,,,,,,,,
2013-05-13,-0.0103270223752151,-0.031443009545199296,-0.043261231281198076,0.0038363171355497716,-0.02144103714784351,-0.07034580767408827,-0.009058725531028822,-0.010295341098169652,0.042501916967904396,10996.0,-16577.0,-60929.0,1454.0,2060.0,287087.0,,,,0.13400000000000034,0.9620000000000033,0.965999999999994,-0.03999999999999915,-0.10999999999999943,0.4900000000000002,0.008000000000000007,0.06739999999999968,-0.016999999999999904,0.0030999999999999917,0.0010999999999999899,-0.010399999999999965,2.0,7.0,32.0,0.00010000000000001674,0.024800000000000016,0.010800000000000004,39.0,22.0,-103.0,,,,,,,,,,,,,,,,,,,,,
2013-05-14,-0.013333333333333308,-0.035147392290249435,-0.04328274311410907,0.025222929936305816,0.026530612244898055,-0.02731447909112872,-0.010087212356835185,-0.014745869065049266,0.06199977454627437,19701.0,9030.0,-23206.0,4681.0,9447.0,313542.0,-25550.0,18093.0,-77918.0,0.31799999999999784,1.3419999999999987,1.1779999999999973,0.21999999999999886,-0.0600000000000005,-4.5,-0.007400000000000073,0.051599999999999646,-0.032800000000000384,-0.0030000000000000027,-0.0031999999999999806,-0.006700000000000039,2.0,9.0,29.0,0.008199999999999985,0.024999999999999994,0.026999999999999996,0.0,23.0,-102.0,-5424.0,-3132.0,610.0,,,,,,,,,,,,,-1068.0,-20903.0,-22293.0,1434.0,6912.0,37246.0
2013-05-15,-0.004112808460634554,-0.029765311963365737,-0.058856191004997394,0.011431411530815172,0.02312719959778775,-0.021634615384615308,0.0009553125995118705,-0.024011591802939436,0.06289449954914339,-17883.0,5281.0,-10789.0,-2354.0,5452.0,328396.0,,,,0.23499999999999943,1.9339999999999975,2.081000000000003,0.040000000000000924,0.15000000000000036,-1.1500000000000004,-0.07139999999999969,0.020000000000000018,-0.06659999999999977,-0.0014000000000000123,-0.005199999999999982,-0.008100000000000052,0.0,7.0,27.0,-0.00789999999999999,0.0169,0.011200000000000015,0.0,23.0,-100.0,,,,,,,,,,,,,,,,,,,,,
2013-05-16,-0.0070796460176991705,-0.03663423010875788,-0.05714285714285727,-0.033906633906633954,-0.012804418779814197,-0.06691979117228297,0.009119830328738088,-0.012760659819483378,0.09783110290724495,-7853.0,-7602.0,-6833.0,-2834.0,664.0,334465.0,,,,-0.24200000000000443,0.7949999999999875,0.9039999999999964,0.2599999999999998,-0.0600000000000005,-3.4400000000000013,-0.0484,-0.0631999999999997,-0.08630000000000004,0.00040000000000001146,-0.0030999999999999917,-0.005699999999999983,-1.0,3.0,23.0,-0.007800000000000001,0.009000000000000008,0.003400000000000014,-44.0,-5.0,-135.0,,,,8280.0,40015.0,40110.0,624.0,2080.0,2072.0,1.8399999999999963,42.42,13.599999999999998,10.030000000000001,-8.719999999999985,28.35000000000001,,,,,,
2013-05-17,0.0035650623885918886,-0.030981067125645412,-0.045223289994347105,0.031281790437436285,0.037084398976982014,-0.07861849579640989,0.009037410676755009,-0.00020824656393181318,0.09449447167445557,-1463.0,3498.0,-13354.0,2166.0,3113.0,349694.0,,,,0.6640000000000015,1.1089999999999947,1.6929999999999978,-0.620000000000001,-0.14000000000000057,-5.109999999999999,0.016000000000000014,-0.10319999999999974,0.017400000000000304,-0.0028000000000000247,-0.0037000000000000366,-0.0040000000000000036,-1.0,2.0,16.0,0.012499999999999983,0.005099999999999993,0.015899999999999997,9.0,4.0,-90.0,,,,,,,,,,,,,,,,,,,,,
2013-05-20,-0.004736530491415203,-0.025507246376811676,-0.06455203116304953,0.008631319358816336,0.042038216560509545,-0.07214156079854817,0.007186002916059087,0.016181569822423025,0.09885240313600718,-3354.0,-10852.0,-4935.0,-1290.0,369.0,361197.0,,,,-0.5159999999999911,0.4590000000000032,1.0220000000000056,0.5700000000000003,0.46999999999999886,-1.950000000000001,-0.020000000000000018,-0.13119999999999976,-0.06619999999999981,-0.0006999999999999784,-0.007500000000000007,-0.007099999999999995,2.0,2.0,17.0,-0.003899999999999987,0.0010999999999999899,0.008099999999999996,0.0,-35.0,-67.0,,,,,,,,,,,,,,,,,,,,,
2013-05-21,0.002974419988102328,-0.009400705052878933,-0.05651930609960831,0.024938875305623442,0.041749502982107334,-0.01757675181626439,-0.005687105780167512,0.02069843965608742,0.0833708877872914,32079.0,1526.0,33998.0,4076.0,-236.0,376900.0,-12687.0,-24610.0,-96934.0,0.1280000000000001,0.26900000000000546,1.1880000000000024,0.34999999999999964,0.5999999999999996,-1.0200000000000014,0.03819999999999979,-0.0855999999999999,-0.08440000000000003,0.00040000000000001146,-0.0040999999999999925,-0.0041999999999999815,-1.0,-1.0,15.0,-0.003899999999999987,-0.010999999999999982,0.012300000000000005,0.0,-35.0,-64.0,-3640.0,-5223.0,-4769.0,,,,,,,,,,,,,8482.0,-36924.0,-20719.0,-1555.0,3145.0,35289.0
2013-05-22,-0.01245551601423489,-0.017699115044247815,-0.06144306651634723,-0.0014312977099236734,0.028501228501228493,-0.0122699386503069,-0.01955074875207985,-0.0002120890774124362,0.05718771024893465,-9160.0,10249.0,13165.0,-176.0,1942.0,383330.0,,,,0.48799999999999955,0.5220000000000056,1.304000000000002,0.45000000000000107,1.0099999999999998,0.33999999999999986,-0.0389999999999997,-0.053199999999999914,-0.16169999999999973,-0.0028000000000000247,-0.005500000000000005,-0.005500000000000005,-2.0,-3.0,12.0,0.012299999999999978,0.009199999999999986,0.02059999999999998,0.0,-35.0,-60.0,,,,,,,,,,,,,,,,,,,,,
2013-05-23,0.006606606606606835,-0.004159239453356944,-0.036781609195402076,0.017916865742952703,0.08367243133265512,0.02280364858377326,-0.0003182011030972154,-0.0095628415300546,0.030843268073936336,-4777.0,13325.0,-1000.0,-1000.0,3776.0,393538.0,,,,-0.5520000000000067,0.2120000000000033,0.7519999999999953,0.25,1.0,0.46000000000000085,0.048199999999999577,0.04339999999999966,-0.08850000000000025,0.0012000000000000344,-0.004699999999999982,-0.007299999999999973,-1.0,-3.0,11.0,0.00020000000000000573,0.017199999999999993,0.019600000000000006,0.0,9.0,-58.0,,,,,,,,,,,,,,,,,,,,,
